Year,Ethnicity,Sex,Cause of Death,Count,Percent
2010,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,297,5
2010,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,201,3
2010,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),64,1
2010,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1540,23
2010,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,50,1
2010,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,1
2010,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13,0
2010,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,111,2
2010,NON-HISPANIC BLACK,MALE,SEPTICEMIA,36,1
2010,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,35,1
2010,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,49,1
2010,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,164,1
2010,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,247,2
2010,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,22,0
2010,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,74,1
2010,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,69,1
2010,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,382,3
2010,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,19,0
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,0
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,502,4
2010,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",32,0
2010,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,258,2
2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5351,40
2010,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,219,2
2010,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,24,0
2010,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,707,5
2010,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),61,0
2010,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3438,25
2010,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,16,0
2010,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",90,1
2010,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,55,0
2010,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,22,0
2010,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,75,1
2010,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,107,1
